company,ultimate_owner,fiscal_year,revenue_usd_millions,scope,is_estimate,basis,confidence
TMICC,— (independent public company),2025,9136,total_company,false,"Real: TMICC FY2025 Annual Report (pub. 18 Mar 2026), revenue EUR7,910M; converted at ~1.155 USD/EUR (mid-Aug 2026 spot).",real
TMICC,— (independent public company),2026,9565,total_company,true,"Estimate: FY2025 actual (EUR7,910M) scaled by real H1 2026 organic sales growth of +4.7% (TMICC H1 2026 results, disclosed) -> ~EUR8,281M; converted at ~1.155 USD/EUR. FY2026 (ends 31 Dec 2026) not yet complete; H2 skews higher for ice cream seasonally, so this run-rate may understate the eventual actual.",grounded_estimate
Froneri,Nestlé + PAI Partners (JV),2025,6670,total_company,true,"Estimate: grounded in real 2024 consolidated revenue of EUR5.5B (Froneri press materials via Spencer & Lewis, Oct 2025) grown by an assumed +5% (no 2025 figure publicly disclosed — Froneri is a private JV); converted at ~1.155 USD/EUR.",grounded_estimate
Froneri,Nestlé + PAI Partners (JV),2026,7004,total_company,true,"Estimate: 2025 estimate (EUR5,775M) grown by a further assumed +5%. Same caveats as 2025 — not a disclosed figure.",grounded_estimate
Mars Wrigley (ice cream),"Mars, Incorporated",2025,1250,ice_cream_segment,true,"Estimate: grounded in Mars Wrigley's own public target of reaching ~$1.1B in global ice cream sales by 2024 (Food Dive reporting, 2022), plus reported double-digit growth in specific lines (e.g. Twix ice cream). Mars, Incorporated is privately held and publishes no actual results, so this assumes moderate continued growth past that stated target.",grounded_estimate
Mars Wrigley (ice cream),"Mars, Incorporated",2026,1325,ice_cream_segment,true,Estimate: extends the 2025 estimate with a further assumed ~6% growth; not a disclosed figure.,grounded_estimate
"Wells Enterprises (Blue Bunny, Halo Top, Bomb Pop)",Ferrero Group,2025,950,ice_cream_segment,true,"Illustrative placeholder — Ferrero Group's real FY2025 (ended 31 Aug 2025) consolidated turnover was EUR19.3B / ~$22.3B (Ferrero key-figures page), but Ferrero does not break out Wells/ice cream segment revenue. No third-party estimate specific to Wells was found; treat this figure as non-authoritative.",placeholder
"Wells Enterprises (Blue Bunny, Halo Top, Bomb Pop)",Ferrero Group,2026,985,ice_cream_segment,true,Illustrative placeholder — same caveat as 2025; not sourced.,placeholder
Inspire Brands (Baskin-Robbins),Roark Capital,2025,700,ice_cream_segment,true,"Illustrative placeholder — Inspire Brands is privately held (Roark Capital); no brand-level Baskin-Robbins revenue is disclosed, including in the reporting around its rumored 2026 IPO. Not sourced.",placeholder
Inspire Brands (Baskin-Robbins),Roark Capital,2026,715,ice_cream_segment,true,Illustrative placeholder — same caveat; not sourced.,placeholder
GoTo Foods (Carvel),Roark Capital,2025,220,ice_cream_segment,true,Illustrative placeholder — GoTo Foods (formerly Focus Brands) is privately held; no brand-level Carvel revenue is disclosed. Not sourced.,placeholder
GoTo Foods (Carvel),Roark Capital,2026,226,ice_cream_segment,true,Illustrative placeholder — same caveat; not sourced.,placeholder
Cold Stone Creamery,MTY Food Group / Kahala Brands,2025,180,ice_cream_segment,true,"Illustrative placeholder — MTY Food Group's real FY2025 (ended 30 Nov 2025) revenue was CAD $1.19B (≈$856M at ~0.719 USD/CAD), but MTY does not break out Cold Stone specifically among its 75+ brands. Not sourced.",placeholder
Cold Stone Creamery,MTY Food Group / Kahala Brands,2026,184,ice_cream_segment,true,Illustrative placeholder — same caveat; not sourced.,placeholder
Dippin' Dots,J&J Snack Foods,2025,101,ice_cream_segment,true,"Estimate: grounded in real FY2024 Dippin' Dots segment sales of $95.3M (J&J Snack Foods FY2024 10-K business-combination note) plus real disclosed quarterly growth commentary (e.g. +8.4% YoY in fiscal Q1 2025), moderating across the year. J&J's FY2025 total company net sales were a real, disclosed $1,583.2M, but FY2025 10-K/press releases reviewed did not restate an exact FY2025 dollar figure for Dippin' Dots specifically.",grounded_estimate
Dippin' Dots,J&J Snack Foods,2026,105,ice_cream_segment,true,"Estimate: extends the FY2025 estimate with modest assumed growth. J&J's fiscal year ends late September, so FY2026 is not yet complete as of Aug 2026.",grounded_estimate
Turkey Hill,Peak Rock Capital,2025,550,total_company,true,Illustrative placeholder — Turkey Hill has been privately held by Peak Rock Capital since 2019 and discloses no financials. Not sourced.,placeholder
Turkey Hill,Peak Rock Capital,2026,560,total_company,true,Illustrative placeholder — same caveat; not sourced.,placeholder
Mengniu (Aice + Deluxe),COFCO Corporation,2025,715,ice_cream_segment,true,"Illustrative split — Mengniu's real FY2025 total revenue was RMB82.245B / ~$11.92B (2025 annual results, disclosed 25-26 Mar 2026), and the results note domestic ice cream posted 'double-digit growth' without a dollar figure. This row applies an unsourced ~6% share-of-total assumption to approximate the segment; the split itself is not disclosed.",grounded_estimate
Mengniu (Aice + Deluxe),COFCO Corporation,2026,750,ice_cream_segment,true,Illustrative split — same caveat as 2025; not sourced.,grounded_estimate
Yili Group,— (independent public company),2025,1447,ice_cream_segment,true,"Tightly grounded estimate: Yili's real 9-month (Jan-Sep 2025) frozen dessert/ice cream revenue was RMB9.428B (+13% YoY, disclosed Nov 2025); Yili's FY2025 annual report (29 Apr 2026) describes full-year ice cream revenue as 'approaching RMB10 billion' without stating an exact figure. Uses RMB9.9B, consistent with that language, converted at the ~6.84 RMB/USD implied by Yili's own FY2025 total-revenue conversion (RMB115.931B = $16.94B).",grounded_estimate
Yili Group,— (independent public company),2026,1520,ice_cream_segment,true,"Estimate: extends the FY2025 figure assuming continued double-digit segment growth, consistent with Yili's own stated multi-year trend (31 consecutive years leading the category, per Yili). FY2026 full-year figures not yet published as of Aug 2026.",grounded_estimate
Häagen-Dazs (General Mills),General Mills (trademark owner); manufactured under license by Froneri,2025,1800,ice_cream_segment,true,"Illustrative placeholder — General Mills' real FY2025 (ended 25 May 2025) total net sales were $19.5B (disclosed), but Häagen-Dazs brand/royalty revenue is not broken out (GM filings separately mention only the much smaller Häagen-Dazs Japan joint venture). This is a rough, unsourced order-of-magnitude placeholder for global Häagen-Dazs brand revenue — not GM's specific royalty income, which would be far smaller.",placeholder
Häagen-Dazs (General Mills),General Mills (trademark owner); manufactured under license by Froneri,2026,1830,ice_cream_segment,true,"Illustrative placeholder — same caveat. General Mills' FY2026 (ended 31 May 2026) total net sales were a real, disclosed $18.4B, but again no brand-level breakout exists.",placeholder
Friendly's (DFA),"Dairy Farmers of America — retail ice cream only, restaurant side excluded",2025,115,ice_cream_segment,true,"Illustrative placeholder — DFA's approximate total cooperative revenue was ~$23B in 2024 (Dairy Foods Top 100 list, the most current reasonably-sourced figure located), but Friendly's retail ice cream is a minor legacy line within a cooperative whose scale is overwhelmingly raw milk marketing, so no percentage-based estimate is defensible. Not sourced.",placeholder
